id;user_id;dm_san_pham_id;dm_mau_id;so_luong;gia;hoa_don
1;Games;95134;68249;47942;throughput Regional aggregate;Intelligent Cotton Tuna invoice world-class
2;Gorgeous Plastic Hat Bike Plastic;48457;70524;9216;Stream auxiliary reboot;Gloves Diverse
3;Computer;82142;41575;24951;Tactics;Intranet Toys
4;e-services SMTP Central;32230;324;67813;parsing leverage;Soft 5th generation Lead
5;SMTP;30621;7370;66121;silver Senior violet;paradigms Taka initiative
6;Cotton deposit reinvent;1132;35867;10400;Electronics;haptic Global bluetooth
7;calculating;18776;71631;73954;facilitate Soft grey;Borders Gateway red
8;e-commerce;77073;97717;87592;Cambridgeshire;Zambia Beauty
9;silver Internal;85245;99807;43419;Incredible Concrete Bacon;Handmade Sausages
10;Pennsylvania Pizza Granite;68421;37776;86936;Wallis and Futuna Ball Internal;Summit
